,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
488,2025-09-19,,97.6,,,,
489,2025-09-21,53.16,,,,,
490,2025-09-22,69.96,,,,,
491,2025-09-24,,,,,,28.37
492,2025-09-25,53.16,,,,,
493,2025-09-26,,97.6,,,,
494,2025-09-29,53.16,,,,,
495,2025-10-03,53.16,,,,,
496,2025-10-07,53.16,,,,,
497,2025-10-08,53.16,,,,,
498,2025-10-14,51.88,,,,,
499,2025-10-15,81.3,,,,,
500,2025-10-16,53.16,,,,,
501,2025-10-19,53.16,,,,,
502,2025-10-22,53.16,,,,,
503,2025-10-24,,,,26.78,,
504,2025-10-25,53.16,,,,,
505,2025-10-26,53.16,,,,,
506,2025-10-28,53.16,,,,,
507,2025-10-29,53.16,,,,,
508,2025-10-31,53.16,,,,,
509,2025-11-02,42.41,,,,,
510,2025-11-06,48.08,,,,,
511,2025-11-09,53.16,,,,,
512,2025-11-11,43.0,,,,,
513,2025-11-15,43.0,,,,,
514,2025-11-17,66.05,,,,,
515,2025-11-19,43.0,,,,,
516,2025-11-21,43.0,,,,,
517,2025-11-22,43.0,,,,,
518,2025-11-23,53.16,,,,,
