,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
376,2024-11-25,17350.0,,,,,
377,2024-11-27,17520.0,,,,,
378,2024-11-30,16860.0,,,,,
379,2024-12-04,17520.0,,,,,
380,2024-12-05,17590.0,,,7000.0,,
381,2024-12-08,17780.0,,,,,
382,2024-12-13,16060.0,,,,,
383,2024-12-17,17600.0,,3400.0,4352.0,,
384,2024-12-21,1520.25,,,,,
385,2024-12-23,18320.0,,,,,
386,2024-12-29,16060.0,,,1600.0,,
387,2024-12-31,18320.0,,,,,
388,2025-01-04,,,,5000.0,,
389,2025-01-06,17520.0,,,,,
390,2025-01-08,18320.0,,,,,
391,2025-01-10,17960.0,,,,,
392,2025-01-13,18320.0,,,,,
393,2025-01-14,3683.0,,,,,
394,2025-01-15,,,,,,2550.0
395,2025-01-21,16227.5,,,,,
396,2025-01-24,16790.0,,,,,
397,2025-01-27,18320.0,,,,,
398,2025-01-30,,,,6100.0,,
399,2025-02-01,16060.0,,,,,
400,2025-02-04,9860.0,,,,,
401,2025-02-08,18320.0,,,,,
402,2025-02-11,17555.0,,,,,
403,2025-02-15,18320.0,,,,,
404,2025-02-18,16790.0,,,,,
405,2025-02-21,18230.0,,,,,
406,2025-02-23,16060.0,,,,,
407,2025-02-27,18320.0,,,,,2736.0
408,2025-03-03,18320.0,,,,,
409,2025-03-12,,758.0,,,,
410,2025-03-13,18320.0,,,,,
411,2025-03-14,10890.0,,,,,
412,2025-03-15,10692.15,,,,,
413,2025-03-18,18230.0,,,,,
414,2025-03-21,8800.0,,,,,
415,2025-03-24,1000.0,,,,,
416,2025-03-26,15835.0,,,,,
417,2025-03-31,16100.0,,,,,
418,2025-04-01,10890.0,,,,,
419,2025-04-04,15525.0,,,,,
420,2025-04-06,16100.0,,,,,
421,2025-04-07,15525.0,,,,,
422,2025-04-12,17600.0,,,,,
423,2025-04-13,18320.0,,,,,
424,2025-04-14,15835.0,,,,,
425,2025-04-20,17600.0,,,,,
426,2025-04-21,10000.0,,,,,
427,2025-04-22,812.0,,,,,
428,2025-04-25,16100.0,,,,,
429,2025-04-28,16877.5,,,,,
430,2025-04-29,18230.0,,,,,
431,2025-05-02,16100.0,,,,,
432,2025-05-04,16675.0,,,,,
433,2025-05-07,16100.0,,,,,
434,2025-05-10,15525.0,,,,,
435,2025-05-13,15525.0,,,,,
436,2025-05-14,16100.0,,,,,
437,2025-05-16,14950.0,,,,,
438,2025-05-21,18230.0,,,,,
439,2025-05-23,15525.0,,,,,
440,2025-05-24,18230.0,,,,,
441,2025-05-27,,13800.0,,,,
442,2025-05-28,15525.0,,,,,
443,2025-05-30,,,,4352.0,,
