,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
299,2024-03-19,314.0,,,,,
300,2024-03-21,211.0,,,,,
301,2024-03-24,292.0,,,,,
302,2024-03-25,293.0,,,,,
303,2024-03-30,,,,35799.0,,
304,2024-03-31,292.0,,,,,
305,2024-04-02,293.0,,,,,
306,2024-04-05,292.0,,,,,
307,2024-04-07,458.5,,,,,
308,2024-04-10,292.0,,,,,
309,2024-04-11,,828.0,,,,
310,2024-04-13,291.0,,,,,
311,2024-04-17,292.0,,,,,
312,2024-04-18,292.0,,,,,
313,2024-04-23,292.0,,,,,
314,2024-04-28,293.0,,23228.0,,,
315,2024-05-02,,520.0,,,,
316,2024-05-03,292.0,,,,,
317,2024-05-06,292.0,,,,,
318,2024-05-08,320.0,,,,,
319,2024-05-10,296.0,,,,,
320,2024-05-13,293.0,,,,,
321,2024-05-14,296.0,,,,,
322,2024-05-18,292.0,,,,,
323,2024-05-22,315.0,,,,,
324,2024-05-23,292.0,,,,,
325,2024-05-24,292.0,,,,,
326,2024-05-28,283.0,404.0,,,,
327,2024-06-01,281.0,,,,,
328,2024-06-05,286.0,,,,,
329,2024-06-08,284.0,,,,,
330,2024-06-19,296.0,,,,,
331,2024-06-20,,,,62437.0,,
332,2024-06-23,278.0,,,,,
333,2024-06-24,295.0,,,,,
334,2024-06-27,275.0,,,,,
335,2024-06-29,356.0,,,,,
336,2024-07-03,297.0,,,,,
337,2024-07-08,,,,69598.0,,
338,2024-07-12,255.0,,,,,
339,2024-07-27,276.0,,,,,
340,2024-07-28,279.0,,,,,
341,2024-08-02,285.0,,,,,
342,2024-08-04,266.0,,,,,
343,2024-08-10,297.0,,,,,
344,2024-08-12,278.0,,,,42874.0,
345,2024-08-15,453.0,,,,,
346,2024-08-16,,516.0,,,,
347,2024-08-20,298.0,,,,,
348,2024-08-28,296.0,,,,,
349,2024-08-31,296.0,,,,,
350,2024-09-05,302.0,,,,,
351,2024-09-06,307.0,,,,,
352,2024-09-10,1200.0,,,,,
353,2024-09-12,523.0,,,,,
354,2024-09-13,298.0,,,,,
355,2024-09-17,,,23228.0,,,
356,2024-09-20,295.0,,,,,
357,2024-09-25,299.0,,,,,
358,2024-09-28,206.0,,,,,
359,2024-10-07,,,,,,-36368.0
360,2024-10-15,285.5,,,,,
361,2024-10-18,295.0,,,,,
362,2024-10-20,595.0,,,,,
363,2024-10-23,291.0,,,,,
364,2024-10-24,516.0,,,,,
365,2024-10-26,302.0,,,,,
366,2024-10-30,287.0,,,,,
367,2024-11-05,210.0,,,,,
368,2024-11-07,291.0,,,,,
369,2024-11-09,295.0,,,,,
370,2024-11-11,289.0,,,35795.0,,
371,2024-11-14,287.5,,,,,
372,2024-11-17,,,,35791.0,,
373,2024-11-18,290.0,,,35796.0,,
374,2024-11-21,294.0,,,,,
375,2024-11-24,290.0,,,,,
376,2024-11-25,331.0,,,,,
377,2024-11-27,291.0,,,,,
378,2024-11-30,302.5,,,,,
379,2024-12-04,284.0,,,,,
380,2024-12-05,283.0,,,35806.0,,
381,2024-12-08,293.0,,,,,
382,2024-12-13,280.0,,,,,
383,2024-12-17,319.0,,8073.0,20195.0,,
384,2024-12-21,574.0,,,,,
385,2024-12-23,288.0,,,,,
386,2024-12-29,280.0,,,64610.0,,
387,2024-12-31,277.0,,,,,
388,2025-01-04,,,,60588.0,,
389,2025-01-06,279.0,,,,,
390,2025-01-08,282.0,,,,,
391,2025-01-10,406.0,,,,,
392,2025-01-13,291.0,,,,,
393,2025-01-14,523.0,,,,,
394,2025-01-15,,,,,,322453.0
395,2025-01-21,293.5,,,,,
396,2025-01-24,281.0,,,,,
397,2025-01-27,292.0,,,,,
398,2025-01-30,,,,68525.0,,
399,2025-02-01,293.0,,,,,
400,2025-02-04,499.0,,,,,
401,2025-02-08,291.0,,,,,
402,2025-02-11,290.0,,,,,
403,2025-02-15,291.0,,,,,
404,2025-02-18,284.0,,,,,
405,2025-02-21,279.0,,,,,
406,2025-02-23,280.0,,,,,
407,2025-02-27,292.0,,,,,367501.0
408,2025-03-03,292.0,,,,,
409,2025-03-12,,658.0,,,,
410,2025-03-13,289.0,,,,,
411,2025-03-14,242.0,,,,,
412,2025-03-15,402.5,,,,,
413,2025-03-18,292.0,,,,,
414,2025-03-21,517.0,,,,,
415,2025-03-24,1306.0,,,,,
416,2025-03-26,290.0,,,,,
417,2025-03-31,285.0,,,,,
418,2025-04-01,432.0,,,,,
419,2025-04-04,284.0,,,,,
420,2025-04-06,290.0,,,,,
421,2025-04-07,288.0,,,,,
422,2025-04-12,325.0,,,,,
423,2025-04-13,292.0,,,,,
424,2025-04-14,286.0,,,,,
425,2025-04-20,292.0,,,,,
426,2025-04-21,370.0,,,,,
427,2025-04-22,607.0,,,,,
428,2025-04-25,272.0,,,,,
429,2025-04-28,286.5,,,,,
430,2025-04-29,293.0,,,,,
431,2025-05-02,283.0,,,,,
432,2025-05-04,278.0,,,,,
433,2025-05-07,283.0,,,,,
434,2025-05-10,279.0,,,,,
435,2025-05-13,278.5,,,,,
436,2025-05-14,278.0,,,,,
437,2025-05-16,279.0,,,,,
438,2025-05-21,292.0,,,,,
439,2025-05-23,275.0,,,,,
440,2025-05-24,290.0,,,,,
441,2025-05-27,,273.0,,,,
442,2025-05-28,274.0,,,,,
443,2025-05-30,,,,20185.0,,
444,2025-05-31,268.0,,,,,
445,2025-06-03,292.0,,,,,
446,2025-06-04,275.0,,,,,
447,2025-06-07,,,,35779.0,,
448,2025-06-08,280.0,,,,,
449,2025-06-10,289.0,,,,,
450,2025-06-13,284.5,,,,,
451,2025-06-17,279.0,,,,,
452,2025-06-18,274.0,,,,,
453,2025-06-23,396.5,,,,,
454,2025-06-25,241.5,,,,,
455,2025-06-28,276.5,,,,,
456,2025-07-01,65207.0,,,,,
457,2025-07-02,270.0,,,,,
458,2025-07-08,274.0,,,,,
459,2025-07-13,,,,61958.0,,
460,2025-07-16,371.5,,,,,
461,2025-07-19,,281.0,,,,
462,2025-07-22,,,7025.0,,,
463,2025-07-23,,515.0,,,,
464,2025-07-26,273.0,,,,,
465,2025-07-27,,280.0,,,,
466,2025-07-30,274.0,,,,,
467,2025-07-31,,326.0,,,,
468,2025-08-01,214.0,,,,,
469,2025-08-04,275.0,,,,,
