Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2022-034,2459672.03,2022-04-02,Electron,-,25,Without Mission a Beat,Global-18/Global-20,-,-,MAHIA,LC1A,-,-,440.0, ,    -, ,-,0.13,RLABN,OS,-,C,Sat LEO OP 1,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,110.0,2022-04-04,428.0,53.01,LLEO/I,Observation,B,Commercial
2022-047,2459702.45,2022-05-02,Electron,-,26,There and Back Again,E-Space Demo,-,-,MAHIA,LC1A,-,-,532.0, ,    -, ,-,0.064,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,51.316,2022-05-11,522.0,97.45,LLEO/S,Communications,B,Commercial
2022-070,2459758.91,2022-06-28,Electron,L,27,CAPSTONE,CAPSTONE,-,-,MAHIA,LC1B,-,-,1044.0, ,    -, ,-,0.325,RLABN,DS,-,C/G,Sat DSO OO,Wire,-,-,BEO,Electron,Electron,NZ,New Zealand,RLLC1,,300.0,2022-06-28,169.0,39.12,LEO/I,Other,B,Commercial
2022-079,2459773.77,2022-07-13,Electron,-,28,Wise One Looks Ahead,NROL-162,-,-,MAHIA,LC1A,-,-,595.0, ,    -, ,-,0.1,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,100.0,2022-07-13,585.0,39.8,LLEO/I,COM?,D,Military
2022-091,2459795.71,2022-08-04,Electron,-,29,Antipodean Adventure,NROL-199,-,-,MAHIA,LC1B,-,-,643.0, ,    -, ,-,0.1,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,100.0,2022-09-12,628.0,70.02,LEO/I,COM?,D,Military
2022-113,2459838.36,2022-09-15,Electron,-,30,The Owl SpreadsIts Wings,Strix-1,-,-,MAHIA,LC1B,-,-,575.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2022-09-18,557.0,97.66,LLEO/S,IMG-R,B,Commercial
2022-127,2459860.21,2022-10-07,Electron,-,31,It Argos From Up Here,GAzelle,-,-,MAHIA,LC1B,-,-,761.0, ,    -, ,-,0.118,RLABN,OS,-,C,Sat SSO OL,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,118.0,2022-10-08,744.0,98.32,LEO/S,Tech Demo,B,Commercial
2022-147,2459888.23,2022-11-04,Electron,-,32,Catch Me If You Can,MATS,-,-,MAHIA,LC1B,-,-,597.0, ,    -, ,-,0.054,RLABN,OS,-,C/OG,Sat SSO OL,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,54.0,2022-11-05,580.0,97.65,LLEO/S,EOSCI,C,Government
2023-011,2459969.46,2023-01-24,Electron,-,33,VA is for Launch Lovers,Hawk 6,-,-,MARS,Pad 0C,-,-,551.0, ,    -, ,-,0.093,RLABU,OS,-,C,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",93.0,2023-01-25,549.0,40.5,LLEO/I,Observation,B,Commercial
2023-035,2460020.44,2023-03-16,Electron,-,34,Stronger Together,Capella 9/10,-,-,MARS,Pad 0C,-,-,612.0, ,    -, ,-,0.224,RLABU,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",224.0,2023-03-17,586.0,44.12,LLEO/I,IMG-R,B,Commercial
2023-041,2460027.89,2023-03-24,Electron,-,35,The Beat Goes On,Global-19/Global-5,-,-,MAHIA,LC1B,-,-,457.0, ,    -, ,-,0.13,RLABN,OS,-,C,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,110.0,2023-03-24,449.0,42.01,LLEO/I,Observation,B,Commercial
2023-062,2460072.54,2023-05-08,Electron,-,36,Rocket Like A Hurricane,Tropics SV05/SV06,-,-,MAHIA,LC1B,-,-,555.0, ,    -, ,-,0.008,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,8.0,2023-05-08,538.0,32.73,LLEO/I,EOSCI,A,Commercial
2023-073,2460090.66,2023-05-26,Electron,-,37,Coming To A Storm Near Y,Tropics SV03/SV07,-,-,MAHIA,LC1B,-,-,555.0, ,    -, ,-,0.008,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,8.0,2023-05-26,538.0,32.73,LLEO/I,EOSCI,A,Commercial
2023-S29,2460113.56,2023-06-18,HASTE,-,38,Scout's Arrow,DYNAMO-A,-,-,MARS,Pad 0C,-,-,,?, 1300, ,-,0.0,RLABU,SS,-,-,Hypersonic,youtube.com,-,-,,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",,,,,,,,Unknown
2023-100,2460143.56,2023-07-18,Electron,-,39,Baby Come Back,Electron 39 Rideshare,LEO-3/Starling/Lemur,-,MAHIA,LC1B,-,-,583.0, ,    -, ,-,0.088,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,88.0,2023-07-18,565.0,99.46,LLEO/S,Tech Demo,C,Commercial
2023-126,2460180.49,2023-08-23,Electron,-,40,We Love The Nightlife,Capella 11 Acadia-1,-,-,MAHIA,LC1B,-,-,653.0, ,    -, ,-,0.18,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,180.0,2023-08-24,637.0,53.01,LEO/I,IMG-R,B,Commercial
2023-F08,2460206.79,2023-09-19,Electron,-,41,We Will Never Desert You,Capella 12 Acadia-2,-,-,MAHIA,LC1B,-,-,,?,    -, ,-,0.18,RLABN,OF,S2E,C,Sat LEO OO,Wire,-,Stage 2 electrical arc,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,,,,,,,,Commercial
2023-196,2460293.67,2023-12-15,Electron,-,42,The Moon God Awakens,QPS-SAR-5,-,-,MAHIA,LC1B,-,-,583.0, ,    -, ,-,0.12,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,120.0,2023-12-15,574.0,42.02,LLEO/I,IMG-R,B,Commercial
2024-022,2460340.77,2024-01-31,Electron,-,43,Four of a Kind,Lemur SSA 1-4,-,-,MAHIA,LC1B,-,-,539.0, ,    -, ,-,0.1,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,100.0,2024-01-31,521.0,97.49,LLEO/S,Observation,B,Commercial
2024-034,2460359.12,2024-02-18,Electron,-,44,On Closer Inspection,ADRAS-J,-,-,MAHIA,LC1B,-,-,597.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2024-02-18,533.0,98.2,LLEO/S,Tech Demo,B,Commercial
2024-047,2460382.13,2024-03-12,Electron,-,45,Owl Night Long,Strix-3,-,-,MAHIA,LC1B,-,-,580.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2024-03-14,554.0,97.56,LLEO/S,IMG-R,B,Commercial
2024-053,2460390.81,2024-03-21,Electron,-,46,Live and Let Fly,NROL-123,USA 350-352,-,MARS,Pad 0C,-,-,430.0, ,    -, ,-,0.13,RLABU,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",130.0,2024-09-21,417.0,50.0,LLEO/I,Tech Demo,D,Military
2024-077,2460424.44,2024-04-23,Electron,-,47,Beginning of the Swarm,Neonsat-1,Neonsat-1,-,MAHIA,LC1B,-,-,528.0, ,    -, ,-,0.116,RLABN,OS,-,C/OG,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,116.1,2024-04-24,504.0,97.41,LLEO/S,Observation,C,Government
2024-099,2460455.82,2024-05-25,Electron,-,48,"Ready, Aim, Prefire",PREFIRE-1,-,-,MAHIA,LC1B,-,-,541.0, ,    -, ,-,0.01,RLABN,OS,-,C/G,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,10.0,2024-05-25,524.0,97.5,LLEO/S,EOSCI,C,Commercial
2024-108,2460466.64,2024-06-05,Electron,-,49,Prefire and Ice,PREFIRE-2,-,-,MAHIA,LC1B,-,-,538.0, ,    -, ,-,0.01,RLABN,OS,-,C/G,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,10.0,2024-06-05,523.0,97.45,LLEO/S,EOSCI,C,Commercial
2024-114,2460482.26,2024-06-20,Electron,-,50,No Time Toulouse,Kineis 1A-1E,-,-,MAHIA,LC1B,-,-,639.0, ,    -, ,-,0.14,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,140.0,2024-06-21,637.0,98.03,LEO/S,Communications,B,Commercial
2024-137,2460525.19,2024-08-02,Electron,-,51,"Owl for One, One for Owl",Strix-4,-,-,MAHIA,LC1B,-,-,550.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2024-08-03,542.0,43.02,LLEO/I,IMG-R,B,Commercial
2024-142,2460534.05,2024-08-11,Electron,-,52,A Sky full of SARs,Capella 13 Acadia-3,-,-,MAHIA,LC1B,-,-,619.0, ,    -, ,-,0.18,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,180.0,2024-08-12,606.0,53.01,LEO/I,IMG-R,B,Commercial
2024-172,2460574.46,2024-09-20,Electron,-,53,Kineis Killed the RadIOT,Kineis 3A-3E,-,-,MAHIA,LC1A,-,-,640.0, ,    -, ,-,0.14,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,140.0,2024-09-21,638.0,98.01,LEO/S,Communications,B,Commercial
2024-201,2460619.95,2024-11-05,Electron,-,54,"Changes in Latitudes,..",E-Space 4,-,-,MAHIA,LC1B,-,-,651.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,100.0,2024-11-06,635.0,97.92,LEO/S,Communications,B,Commercial
2024-S76,2460638.75,2024-11-24,HASTE,-,55,HIPPO,MACH-TB-2,-,-,MARS,Pad 0C,-,-,,?, 4800,?,22W 34N?,0.0,RLABU,SS,-,-,Hypersonic,youtube.com,-,-,,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",,,,,,,,Unknown
2024-219,2460639.65,2024-11-25,Electron,-,56,Ice AIS Baby,Kineis 5A-5E,-,-,MAHIA,LC1B,-,-,640.0, ,    -, ,-,0.14,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,140.0,2024-11-25,637.0,97.95,LEO/S,Communications,B,Commercial
2024-S85,2460658.54,2024-12-14,HASTE,-,57,STONEHENGE,MACH-TB-3,-,-,MARS,Pad 0C,-,-,,?, 4800,?,22W 34N?,0.0,RLABU,SS,-,-,Hypersonic,youtube.com,-,-,,Electron,Electron,US,United States,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",,,,,,,,Unknown
2024-248,2460666.1,2024-12-21,Electron,-,58,Owl the Way Up,Strix-2,-,-,MAHIA,LC1B,-,-,581.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2024-12-23,554.0,97.56,LLEO/S,IMG-R,B,Commercial
2025-028,2460715.36,2025-02-08,Electron,-,59,IoT 4 U and Me,Kineis 2A-2E,-,-,MAHIA,LC1B,-,-,652.0, ,    -, ,-,0.14,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,140.0,2025-02-08,636.0,97.96,LEO/S,Communications,B,Commercial
2025-033,2460725.47,2025-02-18,Electron,-,60,Fasten Your Space Belts,BlackSky Gen3,-,-,MAHIA,LC1B,-,-,476.0, ,    -, ,-,0.138,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,138.0,2025-02-19,466.0,59.0,LLEO/I,Observation,B,Commercial
2025-050,2460749.5,2025-03-15,Electron,-,61,The Lightning God Reigns,QPS-SAR-9,-,-,MAHIA,LC1B,-,-,573.0, ,    -, ,-,0.12,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,120.0,2025-03-15,572.0,42.0,LLEO/I,IMG-R,B,Commercial
2025-056,2460752.56,2025-03-18,Electron,-,62,High Five,Kineis 4A-4E,-,-,MAHIA,LC1A,-,-,647.0, ,    -, ,-,0.14,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,140.0,2025-03-18,644.0,97.97,LEO/S,Communications,B,Commercial
2025-061,2460761.15,2025-03-26,Electron,-,63,Finding Hot Wildfires..,OTC Phase 1,-,-,MAHIA,LC1B,-,-,566.0, ,    -, ,-,0.1,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,120.0,2025-03-26,527.0,97.52,LLEO/S,Observation,B,Commercial
2025-104,2460812.85,2025-05-17,Electron,-,64,The Sea God Sees,QPS-SAR_10,-,-,MAHIA,LC1A,-,-,583.0, ,    -, ,-,0.12,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,120.0,2025-05-17,297.0,42.01,LLEO/I,IMG-R,B,Commercial
2025-118,2460829.5,2025-06-02,Electron,-,65,Full Stream Ahead,BlackSky Gen3-2,-,-,MAHIA,LC1B,-,-,491.0, ,    -, ,-,0.138,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,138.0,2025-06-03,455.0,59.02,LLEO/I,Observation,B,Commercial
