Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2022-077,2459771.57,2022-07-11,Falcon 9,FT5,165/B1063.6  F164,Starlink-52,Starlink Group 3-1,V1.5 3-1  (46 Ku),-,VSFBS,SLC4E,-,-,319.0, ,    -, ,-,13.862,SPX,OS,-,C,Sat SSO D 4,Wire,-,-,SSO,Falcon9,Falcon 9,US,United States,V,Vandenberg,13662.0,2022-07-11,306.0,97.67,LLEO/S,Communications,B,Starlink
2022-083,2459778.1,2022-07-17,Falcon 9,FT5,166/B1051.13 F166,Starlink-53,Starlink Group 4-22,V1.5 4-22 (53 Ku),-,CC,LC40,-,-,337.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15741.0,2022-07-17,231.0,53.22,LLEO/I,Communications,B,Starlink
2022-084,2459783.24,2022-07-22,Falcon 9,FT5,167/B1071.4  F167,Starlink-54,Starlink Group 3-2,V1.5 3-2  (46 Ku),-,VSFBS,SLC4E,-,-,319.0, ,    -, ,-,13.862,SPX,OS,-,C,Sat SSO D 4,Wire,-,-,SSO,Falcon9,Falcon 9,US,United States,V,Vandenberg,13662.0,2022-07-23,307.0,97.67,LLEO/S,Communications,B,Starlink
2022-086,2459785.07,2022-07-24,Falcon 9,FT5,168/B1062.8  F168,Starlink-55,Starlink Group 4-25,V1.5 4-25 (53 Ku),-,KSC,LC39A,-,-,335.0, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15741.0,2022-07-25,231.0,53.22,LLEO/I,Communications,B,Starlink
2022-097,2459801.59,2022-08-10,Falcon 9,FT5,171/B1073.3  F170,Starlink-56,Starlink Group 4-26,V1.5 4-26 (52 Ku),-,KSC,LC39A,-,-,334.0, ,    -, ,-,15.644,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15444.0,2022-08-10,231.0,53.22,LLEO/I,Communications,B,Starlink
2022-099,2459804.4,2022-08-12,Falcon 9,FT5,170/B1061.10 F171,Starlink-57,Starlink Group 3-3,V1.5 3-3  (46 Ku),-,VSFBS,SLC4E,-,-,319.0, ,    -, ,-,14.0,SPX,OS,-,C,Sat SSO D 4,Wire,-,-,SSO,Falcon9,Falcon 9,US,United States,V,Vandenberg,13800.0,2022-08-13,307.0,97.67,LLEO/S,Communications,B,Starlink
2022-101,2459811.31,2022-08-19,Falcon 9,FT5,172/B1062.9  F172,Starlink-58,Starlink Group 4-27,V1.5 4-27 (53 Ku),-,CC,LC40,-,-,337.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15900.0,2022-08-20,231.0,53.22,LLEO/I,Communications,B,Starlink
2022-104,2459819.65,2022-08-28,Falcon 9,FT5,173/B1069.2  F173,Starlink-59,Starlink Group 4-23,V1.5 4-23 (54 Ku),-,CC,LC40,-,-,335.0, ,    -, ,-,16.4,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,16200.0,2022-08-28,231.0,53.22,LLEO/I,Communications,B,Starlink
2022-105,2459822.74,2022-08-31,Falcon 9,FT5,174/B1063.7  F174,Starlink-60,Starlink Group 3-4,V1.5 3-4  (46 Ku),-,VSFBS,SLC4E,-,-,319.0, ,    -, ,-,14.0,SPX,OS,-,C,Sat SSO D 4,Wire,-,-,SSO,Falcon9,Falcon 9,US,United States,V,Vandenberg,13800.0,2022-09-02,312.0,97.66,LLEO/S,Communications,B,Starlink
2022-107,2459827.59,2022-09-05,Falcon 9,FT5,175/B1052.7  F175,Starlink-61,Starlink Group 4-20/SLTC,V1.5 4-20 (51 Ku),-,CC,LC40,-,-,314.0, ,    -, ,-,15.955,SPX,OS,-,C,Sat LEO D 5,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15735.0,2022-09-06,301.0,53.21,LLEO/I,Communications,B,Starlink
2022-111,2459833.56,2022-09-11,Falcon 9,FT5,176/B1058.14 F176,Starlink-62,Starlink Group 4-2/BW3,V1.5 4-2  (34 Ku),-,KSC,LC39A,-,-,334.0, ,    -, ,-,12.24,SPX,OS,-,C,Sat LEO D 5,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",11870.0,2022-09-12,324.0,53.2,LLEO/I,Communications,B,Starlink
2022-114,2459841.51,2022-09-19,Falcon 9,FT5,177/B1067.6  F177,Starlink-63,Starlink Group 4-34,V1.5 4-34 (54 Ku),-,CC,LC40,-,-,336.0, ,    -, ,-,16.67,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,16470.0,2022-09-19,231.0,53.22,LLEO/I,Communications,B,Starlink
