Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1972-006,2441350.86,1972-02-03,Voskhod 11A57,-,7801421-136,Kosmos-473,Zenit-2M,-,-,NIIP-5,LC31,-,-,309.0, ,    -, ,-,5.4,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-02-05,205.0,65.01,LLEO/I,Observation,D,Eastern Military
1972-008,2441363.9,1972-02-16,Voskhod 11A57,-,7801422-240,Kosmos-474,Zenit-4M,-,-,NIIP-5,LC31,-,-,324.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-02-18,176.0,64.97,LLEO/I,Observation,D,Eastern Military
1972-011,2441377.97,1972-03-01,Vostok 8A92M,-,S 15000-009,Kosmos-476,Tselina-D,-,-,NIIP-53,LC43/4,-,-,633.0, ,    -, ,-,1.75,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,1750.0,1972-04-03,613.0,81.21,LEO/I,Observation,D,Eastern Military
1972-013,2441380.92,1972-03-04,Voskhod 11A57,-,7801421-138,Kosmos-477,Zenit-2M,-,-,NIIP-53,LC41/1,-,-,300.0, ,    -, ,-,6.03,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2830.0,1972-03-06,201.0,72.86,LLEO/I,Observation,D,Eastern Military
1972-015,2441392.04,1972-03-15,Voskhod 11A57,-,7702423-252,Kosmos-478,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,281.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1972-03-17,175.0,65.39,LLEO/I,Observation,D,Eastern Military
1972-022,2441407.09,1972-03-30,Vostok 8A92M,-,7702421-334,Meteor,Meteor-MV No. 23,-,-,NIIP-53,LC41/1,-,-,891.0, ,    -, ,-,1.28,RVSN,OS,-,G,Sat LEO O,PL-WWW,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,1280.0,1972-05-06,864.0,81.23,LEO/I,Observation,D,Eastern Military
1972-024,2441410.93,1972-04-03,Voskhod 11A57,-,7801422-245,Kosmos-483,Zenit-4M,-,-,NIIP-53,LC41/1,-,-,307.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1972-04-05,175.0,72.85,LLEO/I,Observation,D,Eastern Military
1972-026,2441413.83,1972-04-06,Voskhod 11A57,-,7801421-139,Kosmos-484,Zenit-2M,-,-,NIIP-53,LC43/3,-,-,219.0, ,    -, ,-,6.03,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2830.0,1972-04-08,193.0,81.31,LLEO/I,Observation,D,Eastern Military
1972-027,2441414.92,1972-04-07,Voskhod 11A57,-,Kh15000-013,Interkosmos-6,Energiya No. 1,-,-,NIIP-5,LC31,-,-,244.0, ,    -, ,-,5.886,RVSN,OS,-,G,Sat LEO O,NK9521-43,Kosmodrom6-15,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2886.0,1972-04-09,202.0,51.76,LLEO/I,Science,C,Eastern Government
1972-030,2441421.83,1972-04-14,Voskhod 11A57,-,7702423-253,Kosmos-486,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,228.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1972-04-16,176.0,81.33,LLEO/I,Observation,D,Eastern Military
1972-034,2441442.97,1972-05-05,Voskhod 11A57,-,7702424-717,Kosmos-488,Zenit-4MK,-,-,NIIP-53,LC43/4,-,-,274.0, ,    -, ,-,6.01,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2310.0,1972-05-10,176.0,65.41,LLEO/I,Observation,D,Eastern Military
1972-036,2441454.93,1972-05-17,Voskhod 11A57,-,7701421-140,Kosmos-490,Zenit-2M,-,-,NIIP-53,LC43/3,-,-,281.0, ,    -, ,-,6.03,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2830.0,1972-05-20,203.0,65.41,LLEO/I,Observation,D,Eastern Military
1972-038,2441462.77,1972-05-25,Voskhod 11A57,-,7801422-244,Kosmos-491,Zenit-4M,-,-,NIIP-5,LC31,-,-,319.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-05-27,174.0,65.0,LLEO/I,Observation,D,Eastern Military
1972-040,2441477.79,1972-06-09,Voskhod 11A57,-,7702423-250,Kosmos-492,Zenit-4M,-,-,NIIP-5,LC31,-,-,324.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-06-11,166.0,64.96,LLEO/I,Observation,D,Eastern Military
1972-042,2441489.77,1972-06-21,Voskhod 11A57,-,7801421-142,Kosmos-493,Zenit-2M,-,-,NIIP-5,LC31,-,-,267.0, ,    -, ,-,5.4,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1972-06-24,202.0,64.97,LLEO/I,Observation,D,Eastern Military
1972-044,2441491.97,1972-06-23,Voskhod 11A57,-,7801422-239,Kosmos-495,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,274.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1972-06-26,199.0,65.42,LLEO/I,Observation,D,Eastern Military
1972-045,2441495.12,1972-06-26,Soyuz 11A511,-,Yu15000-020,Kosmos-496,Soyuz 7K-T No. 33A,-,-,NIIP-5,LC1,-,-,317.0, ,    -, ,-,6.8,RVSN,OS,-,G,Sat LEO O,NK0204-71,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2850.0,1972-06-28,188.0,51.6,LLEO/I,Other,C,Eastern Government
