Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Year
2020-070,2459128.98,2020-10-06,Falcon 9,FT5,096/B1058.3  F095,Starlink-13,Starlink V1.0-L12,L12 (60),-,KSC,LC39A,-,-,276.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2020-10-09,260.0,52.99,LLEO/I,Communications,B,Starlink,2020
2020-071,2459134.21,2020-10-11,Chang Zheng 3B,G2,Y63,Gao Fen 13,Gao Fen 13,-,-,XSC,LC2,-,-,35799.0, ,    -, ,-,4.6,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,GTO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",4600.0,2020-10-20,35775.0,1.98,GEO/S,Observation,D,Eastern Military,2020
2020-072,2459136.74,2020-10-14,Soyuz-2-1A,-,Kh15000-045,Soyuz MS-17,Soyuz 11F732A48 No. 747,ISS 63S,-,GIK-5,LC31,-,-,210.0, ,    -, ,-,7.218,FKA,OS,-,G,Sat ISS O,spaceflightnow.com,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,2903.0,2020-10-14,188.0,51.65,LLEO/I,Other,C,Eastern Government,2020
2020-073,2459141.02,2020-10-18,Falcon 9,FT5,095/B1051.6  F096,Starlink-14,Starlink V1.0-L13,L13 (60),-,KSC,LC39A,-,-,269.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2020-10-20,253.0,53.05,LLEO/I,Communications,B,Starlink,2020
2020-074,2459147.15,2020-10-24,Falcon 9,FT5,100/B1060.3  F097,Starlink-15,Starlink V1.0-L14,L14 (60),-,CC,LC40,-,-,270.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-10-28,257.0,53.05,LLEO/I,Communications,B,Starlink,2020
2020-075,2459148.3,2020-10-25,Soyuz-2-1B,Fregat,G 15000-031/112-12,Glonass-K No. 15L,Glonass-K No. 15L,-,-,GIK-1,LC43/4,-,-,19146.0, ,    -, ,-,0.974,VVKO,OS,-,G,Sat MEO SO,spaceflightnow.com,-,-,MEO,R-7,Soyuz,RU,Russia,GIK1,,974.0,2020-11-02,19103.0,64.81,MEO,Communications,D,Eastern Military,2020
2020-076,2459149.14,2020-10-26,Chang Zheng 2C,-,Y43,Yaogan 30 07 zu,YG-30-07,-,-,XSC,LC3,-,-,604.0, ,    -, ,-,1.54,CALT,OS,-,G,Sat LEO L,nasaspaceflight.com,xinhuanet.com,-,LEO,DF5,Long March 2,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",1540.0,2020-10-27,588.0,34.99,LLEO/I,Observation,D,Eastern Military,2020
2020-077,2459151.39,2020-10-28,Electron,-,15,In Focus,Electron 15 Rideshare,CESAT-IIB/Flock 4ep,-,MAHIA,LC1A,-,-,527.0, ,    -, ,-,0.086,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,86.3,2020-10-30,511.0,97.5,LLEO/S,Observation,B,Commercial,2020
2020-078,2459159.48,2020-11-05,Falcon 9,FT5,098/B1062.1  F098,GPS III SV-04,GPS III SV-04,-,-,CC,LC40,-,-,20186.0, ,    -, ,-,4.4,SPX,OS,-,CX/G,Sat MTO D,Wire,-,-,MEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,4400.0,2020-11-25,20178.0,54.97,MEO,Communications,D,Military,2020
2020-079,2459159.64,2020-11-06,Chang Zheng 6,-,Y3,Nusat 9-18,Nusat 9-18,-,-,TYSC,LC16,-,-,477.0, ,    -, ,-,0.58,SAST,OS,-,G,Sat SSO L,nasaspaceflight.com,xinhuanet.com,-,SSO,DF5,Long March 6,CN,China,TYSC,Taiyuan weixing fashe zhongxin,550.0,2020-11-06,467.0,97.27,LLEO/S,Observation,B,Eastern Government,2020
