JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S39265,39265,2013-055,2013-055A,P           ,CASSIOPE,CASSIOPE,2013-09-29,S39271,2013-09-29,Earth,,O,-,CSA,CA,BALM/MDAM,MAC-200,-,481.0,    481  ,481.0,   1.4  ,1.8,    2.0 ?,0.0,2013 Oct  7,325.0,    1486 ,81.0,LEO/I,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Cassiope,CSA,C,COM/SCI,AUR/P/F,S,ePOP space weather,COM/SCI,Falcon 9,-,VS,SLC4E,Falcon9,Falcon 9,Vandenberg,"South Vandenberg AFB, California",US,United States,2013
S40020,40020,2014-033,2014-033L,P           ,BRITE-Toronto,BRITE-C1,2014-06-19,S40047,2014-06-19,Earth,,O,-,CSA/UTIAS,CA,UTIAS,GNB,-,7.0,      7  ,7.0,   0.2  ,0.2,    0.2  ,0.0,2014 Jun 27,613.0,     738 ,97.97,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,BRITE-CA1 (Brite-Toronto),BRITE,A,AST,-,S,-,Observation,Dnepr,-,YAS,Sh370/13,R-36,Dnepr,Yasniy,"Yasniy site, Dombarovskiy Air Base, Orensburgskaya Oblast', Rossiya",RU,Russia,2014
S40055,40055,2014-034,2014-034C,P           ,CanX-4,CanX-4,2014-06-30,S40058,2014-06-30,Earth,,O,-,UTIAS,CA,UTIAS,GNB,-,7.0,      7  ,7.0,   0.2  ,0.2,    0.2  ,0.0,2014 Jul  2,641.0,     659 ,98.26,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-4,CanX,A,TECH,-,S,-,Tech Demo,PSLV,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2014
S40056,40056,2014-034,2014-034D,P           ,CanX-5,CanX-5,2014-06-30,S40058,2014-06-30,Earth,,O,-,UTIAS,CA,UTIAS,GNB,-,7.0,      7  ,7.0,   0.2  ,0.2,    0.2  ,0.0,2014 Jul  2,642.0,     656 ,98.25,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-5,CanX,A,TECH,-,S,-,Tech Demo,PSLV,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2014
S40073,40073,2014-037,2014-037E,P -D        ,M3MSat Mass Mock-up,M3MSat dummy,2014-07-08,A08233,2014-07-08,Earth,,O,-,DND?,CA,COMDEV,-,-,75.0,     75  ,75.0,   0.8  ,0.6,    0.8  ,0.0,2014 Jul  9,625.0,     630 ,98.39,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,M3MSat Mass Mock-up,ExactView,D,CAL,-,S,-,Other,Soyuz-2-1B,-,GIK-5,LC31,R-7,Soyuz,Baykonur,Baykonur,RU,Russia,2014
S40936,40936,2015-052,2015-052G,P           ,exactView-9,EV-9,2015-09-28,S40937,2015-09-28,Earth,2020-03-31,N,-,EXEA,CA,UTIAS,GNB,-,5.5,      5.500 ,5.5,   0.2  ,0.2,    0.2  ,0.0,2015 Sep 29,630.0,     649 ,6.0,LEO/E,-,,0.0,,0.0,,0.0,,,,,nan,Canada,exactView-9,ExactView,B,COM,-,S,-,Communications,PSLV-XL,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2015
S41036,41036,2015-068,2015-068A,P           ,Telstar 12 Vantage,Telstar 12V,2015-11-24,S41037,2015-11-24,Earth,,O,-,TSKY,CA,ADST,Eurostar 3000,R-4D,4900.0,   2170  ,4900.0,   6.0 ?,0.0,   39.0 ?,0.0,2015 Dec  2,35637.0,   35721 ,0.1,GEO/D,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Telstar 12 Vantage,Telstar,B,COM,-,S,-,Communications,H-IIA 204,-,TNSC,Y,H2,H2,Tanegashima,"Tanegashima Space Center, Tanegashima, Nippon",J,Japan,2015
S41602,41602,2016-040,2016-040D,P           ,Claire,GHGSat-D,2016-06-22,S41620,2016-06-22,Earth,2024-12-11,R,-,GHG/UTIAS,CA,UTIAS,Nemo-V1,-,25.0,     25  ,25.0,   0.4  ,0.2,    0.4  ,0.0,2016 Jun 24,500.0,     511 ,97.5,LLEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,GHGSat-D,GHG,B,EOSCI,ATM,S,-,EOSCI,PSLV-XL,-,SHAR,SLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2016
S41605,41605,2016-040,2016-040G,P           ,M3MSat,exactView-7,2016-06-22,S41620,2016-06-22,Earth,2025-12-19,R,-,DND/EXEA,CA,COMDH,MMMS,-,85.0,     85  ,85.0,   0.8  ,0.6,    0.8  ,0.0,2016 Jun 24,500.0,     515 ,97.51,LLEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,M3MSat,ExactView,D,COM,-,S,-,Communications,PSLV-XL,-,SHAR,SLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2016
S41788,41788,2016-059,2016-059F,P           ,CanX-7,CanX-7,2016-09-26,S41791,2016-09-26,Earth,2022-04-21,R,-,UTIAS,CA,UTIAS,Cubesat 3U+,-,8.0,      8  ,8.0,   0.340 ,0.1,    2.0  ,0.0,2016 Oct  3,661.0,     701 ,98.21,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-7,CanX,A,TECH,-,S,-,Tech Demo,PSLV,-,SHAR,FLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2016
