Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1988-018,2447232.48,1988-03-11,Ariane 3,-,V21 L21,Tel. 1C/Spacenet 3R,Spacenet 3R,-,-,CSG,ELA1,-,-,35796.0, ,    -, ,-,2.576,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1367.0,1988-04-11,35777.0,0.02,GEO/S,Communications,B,Commercial
1988-040,2447299.5,1988-05-17,Ariane 2,-,V23 L22,Intelsat 513,INTELSAT VA F13,-,-,CSG,ELA1,-,-,35802.0, ,    -, ,-,1.978,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,1054.0,1988-06-17,35770.0,0.3,GEO/S,Communications,C,Government
1988-051,2447327.97,1988-06-15,Ariane 44LP,44LP,V22 L401,Meteosat 3/PAS 1,Meteosat P2,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,2.306,AE,OS,-,CO/G+C,Sat GTO O 2,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,1154.0,1988-07-16,35722.0,1.5,GEO/D,Observation,C,Commercial
1988-063,2447364.47,1988-07-21,Ariane 3,-,V24 L23,Insat 1C/ECS 5,Insat 1C,-,-,CSG,ELA1,-,-,35809.0, ,    -, ,-,2.515,AE,OS,-,CO/OG+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1852.0,1988-08-24,35765.0,0.15,GEO/S,COM/MET,C,Government
1988-081,2447413.46,1988-09-08,Ariane 3,-,V25 L24,Gstar 3/SBS 5,Gstar 3,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,2.639,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1429.0,1994-04-01,35772.0,5.68,GEO/I,Communications,B,Commercial
1988-098,2447462.6,1988-10-28,Ariane 2,-,V26 L25,TDF 1,TDF 1,-,-,CSG,ELA1,-,-,35802.0, ,    -, ,-,2.077,AE,OS,-,CO/G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,2077.0,1988-11-27,35772.0,0.05,GEO/S,Communications,C,Commercial
1988-109,2447506.52,1988-12-11,Ariane 44LP,44LP,V27 L402,Skynet 4B/Astra 1A,Skynet 4B,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,3.413,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,1744.0,1989-01-14,35777.0,3.0,GEO/S,Communications,D,Military
1989-006,2447553.56,1989-01-27,Ariane 2,-,V28 L26,Intelsat 515,INTELSAT VA F15,-,-,CSG,ELA1,-,-,35720.0, ,    -, ,-,1.981,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,1054.0,1989-02-27,35696.0,0.2,GEO/D,Communications,C,Government
1989-020,2447592.48,1989-03-06,Ariane 44LP,44LP,V29 L403,JCSAT 1/Meteosat 4,JCSAT 1,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,3.163,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2603.0,1989-04-18,35779.0,0.06,GEO/S,Communications,B,Commercial
1989-027,2447618.6,1989-04-02,Ariane 2,-,V30 L27,Tele-X,Tele-X,-,-,CSG,ELA1,-,-,35799.0, ,    -, ,-,2.078,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 2,GUF,French Guiana,Kourou,,2078.0,1989-05-04,35774.0,0.12,GEO/S,Communications,B,Commercial
1989-041,2447683.44,1989-06-05,Ariane 44L,44L,V31 L404,Superbird A/DFS 1,Superbird A,-,-,CSG,ELA2,-,-,35802.0, ,    -, ,-,4.104,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3904.0,1989-07-09,35770.0,0.03,GEO/S,Communications,B,Commercial
1989-053,2447719.51,1989-07-12,Ariane 3,-,V32 L28,Olympus,Olympus,-,-,CSG,ELA1,-,-,35798.0, ,    -, ,-,2.595,AE,OS,-,CO/G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,2595.0,1989-08-12,35776.0,0.06,GEO/S,Communications,C,Commercial
1989-062,2447747.48,1989-08-08,Ariane 44LP,44LP,V33 L405,TV-SAT 2/Hipparcos,TV-SAT 2,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,3.474,AE,OS,-,CO/G,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2754.0,1989-09-08,35771.0,0.11,GEO/S,Communications,C,Commercial
1989-087,2447827.46,1989-10-27,Ariane 44L,44L,V34 L406,Intelsat 602,INTELSAT VI F-2,-,-,CSG,ELA2,-,-,35849.0, ,    -, ,-,4.286,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4286.0,1989-11-27,35726.0,0.1,GEO/S,Communications,C,Government
1990-005,2447913.57,1990-01-22,Ariane 40,40,V35 L408,SPOT 2/ASAP-1,SPOT 2,-,-,CSG,ELA2,-,-,825.0, ,    -, ,-,2.039,AE,OS,-,CO/G,Sat SSO O,CNES32,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2039.0,1990-02-21,824.0,98.72,LEO/S,Observation,C,Commercial
1990-F01,2447945.47,1990-02-22,Ariane 44L,44L,V36 L407,Superbird B/BS 2X,Superbird B,-,-,CSG,ELA2,-,-,9.0, ,    -, ,-,3.651,AE,OF,S1P,CO,Sat GTO O 1,CNES32,-,FOD in valve,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,,,,,,,,Commercial
1990-063,2448097.43,1990-07-24,Ariane 44L,44L,V37 L409,TDF 2/DFS 2,TDF 2,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,3.676,AE,OS,-,CO/G,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3476.0,1990-08-25,35783.0,0.05,GEO/S,Communications,C,Commercial
1990-079,2448134.45,1990-08-30,Ariane 44LP,44LP,V38 L410b,Eut. 2F1/Skynet 4C,Skynet 4C,-,-,CSG,ELA2,-,-,35787.0, ,    -, ,-,3.508,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3308.0,1990-09-30,35785.0,4.31,GEO/I,Communications,D,Military
1990-091,2448177.46,1990-10-12,Ariane 44L,44L,V39 L411b,SBS 6/Galaxy 6,SBS 6,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,3.89,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3147.0,1990-12-03,35777.0,0.05,GEO/S,Communications,B,Commercial
1990-100,2448216.47,1990-11-20,Ariane 42P,42P,V40 L412b,Satcom C1/Gstar 4,Satcom C1,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,2.614,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,1291.0,1990-12-25,35775.0,0.05,GEO/S,Communications,B,Commercial
1991-003,2448272.47,1991-01-15,Ariane 44L,44L,V41 L413a,Italsat 1/Eut. 2F2,Italsat 1,-,-,CSG,ELA2,-,-,35846.0, ,    -, ,-,3.943,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3743.0,1991-02-14,35728.0,0.1,GEO/S,Communications,C,Commercial
1991-015,2448318.48,1991-03-02,Ariane 44LP,44LP,V42 L414,Astra 1B/Meteosat 5,Astra 1B,-,-,CSG,ELA2,-,-,35636.0, ,    -, ,-,3.481,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2921.0,1991-04-01,35467.0,0.16,GEO/D,Communications,B,Commercial
1991-026,2448351.48,1991-04-04,Ariane 44P,44P,V43 L415a,Anik E2,Anik E2,-,-,CSG,ELA2,-,-,35807.0, ,    -, ,-,2.95,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2950.0,1991-05-06,35732.0,0.1,GEO/D,Communications,B,Commercial
1991-050,2448454.57,1991-07-17,Ariane 40,40,V44 L416a,ERS 1/ASAP 2,ERS-1,-,-,CSG,ELA2,-,-,778.0, ,    -, ,-,2.502,AE,OS,-,CO/G,Sat SSO O,CNES32,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2502.0,1991-08-16,776.0,98.52,LEO/S,SCI/IMG-R,C,Commercial
1991-055,2448483.47,1991-08-14,Ariane 44L,44L,V45 L417,Intelsat 605,INTELSAT VI F-5,-,-,CSG,ELA2,-,-,35818.0, ,    -, ,-,4.296,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4296.0,1991-09-13,35756.0,0.03,GEO/S,Communications,C,Government
1991-067,2448526.49,1991-09-26,Ariane 44P,44P,V46 L418a,Anik E1,Anik E1,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,2.933,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2933.0,1991-10-27,35773.0,0.04,GEO/S,Communications,B,Commercial
1991-075,2448559.46,1991-10-29,Ariane 44L,44L,V47 L419,Intelsat 601,INTELSAT VI F-1,-,-,CSG,ELA2,-,-,35897.0, ,    -, ,-,4.26,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4260.0,1991-12-04,35680.0,0.04,GEO/S,Communications,C,Government
1991-084,2448607.47,1991-12-16,Ariane 44L,44L,V48 L420a,Inmarsat 2F3/Tel. 2A,Telecom 2A,-,-,CSG,ELA2,-,-,35803.0, ,    -, ,-,3.785,AE,OS,-,CO/G,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3585.0,1992-01-15,35771.0,0.05,GEO/S,Communications,C,Commercial
1992-010,2448679.5,1992-02-26,Ariane 44L,44L,V49 L421b,Superbird B1/Arab 1C,Superbird B1,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,4.07,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3870.0,1992-04-06,35773.0,0.01,GEO/S,Communications,B,Commercial
1992-021,2448728.48,1992-04-15,Ariane 44L,44L+,V50 L422a,Inmarsat 2F4/Tel. 2B,Telecom 2B,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,3.785,AE,OS,-,CO/G,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3585.0,1992-05-22,35771.0,0.05,GEO/S,Communications,C,Commercial
1992-041,2448813.45,1992-07-09,Ariane 44L,44L,V51 L423c,Insat 2A/Eutel. 2F4,Insat 2A,-,-,CSG,ELA2,-,-,35802.0, ,    -, ,-,3.984,AE,OS,-,CO/OG+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3784.0,1992-08-09,35770.0,0.17,GEO/S,COM/MET,C,Government
1992-052,2448845.46,1992-08-10,Ariane 42P,42P,V52 L424b,Topex/ASAP 3,Topex-Poseidon,-,-,CSG,ELA2,-,-,1341.0, ,    -, ,-,2.5,AE,OS,-,CO/G,Sat LEO O,CNES32,-,-,LEO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2500.0,1992-09-10,1331.0,66.04,LEO/I,Science,C,Commercial
