Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Feb 2025,16,2,0,1,0,0,1
Mar 2025,14,8,1,3,0,0,0
Apr 2025,21,3,0,2,0,0,0
May 2025,19,5,0,4,0,0,1
Jun 2025,1,0,0,0,0,0,0
Jul 2025,0,0,0,0,0,0,0
Aug 2025,0,0,0,0,0,0,0
Sep 2025,0,0,0,0,0,0,0
Oct 2025,0,0,0,0,0,0,0
Nov 2025,0,0,0,0,0,0,0
Dec 2025,0,0,0,0,0,0,0
